ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI
4,A4,45.0,60.0,86.71,76.3,136.99,1.0,0.88,1.58
5,A5,40.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42
6,A6,40.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42
7,A7,35.0,60.0,81.97,88.52,129.51,1.0,1.08,1.58
8,A8,35.0,60.0,81.97,88.52,129.51,1.0,1.08,1.58
9,A9,35.0,60.0,89.02,81.9,129.08,1.0,0.92,1.45
10,A10,35.0,60.0,89.02,81.9,129.08,1.0,0.92,1.45
11,A11,5.0,60.0,86.96,73.91,139.13,1.0,0.85,1.6
12,A12,5.0,60.0,86.96,73.91,139.13,1.0,0.85,1.6
13,B1,60.0,60.0,81.08,89.19,129.73,1.0,1.1,1.6
14,B2,60.0,60.0,81.08,89.19,129.73,1.0,1.1,1.6
15,B3,40.0,60.0,82.87,84.53,132.6,1.0,1.02,1.6
16,B4,40.0,60.0,82.87,84.53,132.6,1.0,1.02,1.6
17,B5,30.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6
18,B6,30.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6
19,B7,5.0,60.0,86.21,75.86,137.93,1.0,0.88,1.6
20,B8,5.0,60.0,86.21,75.86,137.93,1.0,0.88,1.6
21,B9,5.0,60.0,90.91,100.0,109.09,1.0,1.1,1.2
22,B10,5.0,60.0,90.91,100.0,109.09,1.0,1.1,1.2
23,B11,5.0,60.0,94.34,92.45,113.21,1.0,0.98,1.2
24,B12,5.0,60.0,94.34,92.45,113.21,1.0,0.98,1.2
25,C1,40.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6
26,C2,40.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6
27,C3,35.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6
28,C4,35.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6
29,C5,35.0,60.0,84.03,85.71,130.25,1.0,1.02,1.55
30,C6,35.0,60.0,84.03,85.71,130.25,1.0,1.02,1.55
31,C7,30.0,60.0,82.19,86.3,131.51,1.0,1.05,1.6
32,C8,30.0,60.0,82.19,86.3,131.51,1.0,1.05,1.6
33,C9,30.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6
34,C10,30.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6
35,C11,5.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6
36,C12,5.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6
37,D1,60.0,150.0,92.31,64.62,143.08,1.0,0.7,1.55
38,D2,60.0,150.0,92.31,64.62,143.08,1.0,0.7,1.55
39,D3,60.0,150.0,93.75,82.5,123.75,1.0,0.88,1.32
40,D4,60.0,150.0,93.75,82.5,123.75,1.0,0.88,1.32
41,D5,60.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
42,D6,60.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
43,D7,60.0,150.0,95.24,90.48,114.29,1.0,0.95,1.2
44,D8,60.0,150.0,95.24,90.48,114.29,1.0,0.95,1.2
