Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,files
30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,0.6347236348542061,0.36866223712561236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1 R0 60C sample 5_Subt2__0__12-01-57-269.csv
30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,0.22333389071967047,0.492592864932672,0.0,0.2688780052825652,0.0,0.0,0.28962283558010216,0.24353334062190746,0.24353334062190746,0.22517676920114527,0.22505655406861524,0.22603099244694047,0.23062628611875027,N1 R0 60C sample 6_Subt2__0__11-59-59-271.csv
5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,0.0,0.5460821407634852,0.0,0.291600954799054,0.0,0.0,0.2637497304285374,0.2780450649898853,0.2560097021460928,0.2559183385362295,0.2545845299752541,0.2544123885558496,0.2583169008087873,N1 R0 60C sample 9_Subt2__0__11-34-26-305.csv
5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0,0.28687235722466564,0.4957331769085063,0.0,0.2610837752240191,0.0,0.0,0.2324302658475027,0.2336628867759437,0.2256704469094524,0.22544209931668102,0.0,0.0,0.0,N1 R0 60C sample 10_Subt2__0__11-35-42-304.csv
60.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0,0.358092863635493,0.25518527774996713,0.0,0.0,0.0,0.18329161770772281,0.1849086387482585,0.15478314129875534,0.14628845236567056,0.16437665193091003,0.16499639492740067,0.15880272673253962,0.1484625186105765,N1R0 105C sample 1_Subt2__0__13-38-18-639.csv
60.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0,0.0,0.2636078801208592,0.19663628317499704,0.21075675137271824,0.0,0.0,0.31852739108446154,0.0,0.3563162716472648,0.35618600607838674,0.2639570107384866,0.2655977199440564,0.0,N1R0 105C sample 2_Subt2__0__13-38-46-638.csv
30.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0,0.05652953897845902,0.3500849454118507,0.0,0.06920064164883138,0.09773544236615013,0.08117278156845747,0.09446381936462854,0.0640414533223307,0.07103501837356689,0.09152484828050282,0.09138607494428869,0.06433604054389191,0.08775117969301392,N1R0 105C sample 5_Subt2__0__13-11-29-175.csv
30.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0,0.0,0.308408156881442,0.0,0.26631653611696765,0.32819034094834726,0.0,0.34820401017356484,0.0,0.32691210406487775,0.32672156176751294,0.27679966772550346,0.28646419961364705,0.0,N1R0 105C sample 6_Subt2__0__13-12-29-674.csv
5.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0,0.0,0.3083707979457411,0.24021481684716697,0.24991310987981988,0.0,0.0,0.4779784104776385,0.0,0.0,0.0,0.0,0.2884002090308558,0.29252722303376055,N1R0 105C sample 9_Subt2__0__12-54-00-698.csv
5.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0,0.0,0.48478915897508706,0.0,0.23571874215959943,0.0,0.24331335144210095,0.2414664095513519,0.0,0.21996501134586485,0.1994160733952518,0.19910268235473672,0.19883215389958955,0.21590281335726214,N1R0 105C sample 10_Subt2__0__12-49-55-204.csv
60.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1R0 150C sample 1_Subt2__0__14-45-48-548.csv
60.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0,0.07772460137203423,0.3353712920781378,0.09670000709106795,0.1041443261510261,0.0,0.0,0.10021069971578618,0.11182581225209863,0.07604227719314087,0.08375206626010152,0.1058857582687862,0.10579686347440899,0.11474592150478707,N1R0 150C sample 2_Subt2__0__14-46-38-546.csv
30.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0,0.27589965566007196,0.1705873049621467,0.0,0.06829552413475502,0.0,0.07610421691412945,0.07524971909922666,0.07814397427268001,0.07162527931211697,0.0894583003367973,0.08936225281594988,0.07517075919539863,0.08110078349851128,N1R0 150C sample 5_Subt2__0__14-19-48-084.csv
30.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0,0.04491636157796534,0.31620104109067615,0.05780006025360651,0.052277694177410176,0.0,0.05610119834500446,0.06137035012135649,0.040729330447918974,0.038429362211404715,0.07599611685247411,0.04056971480124793,0.04046068000145831,0.05789845763443005,N1R0 150C sample 6_Subt2__0__14-20-45-582.csv
5.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0,0.0,0.3284368012470838,0.0,0.11929837550529933,0.08899391224009601,0.0858492976483935,0.08989063429480106,0.08527199798317203,0.06865257105421348,0.06637263499072453,0.06500201033494708,0.08307917744217076,0.08716991390745787,N1R0 150C sample 9_Subt2__0__13-55-46-616.csv
