Anneal Time,Temperature,R BAAc,R MAI,QW 1,QW 1_std,QW 2,QW 2_std,QW 3,QW 3_std,QW 4,QW 4_std,QW 5,QW 5_std,QW 6,QW 6_std,QW 7,QW 7_std,QW 8,QW 8_std,QW 9,QW 9_std,QW 10,QW 10_std,QW 11,QW 11_std,QW 12,QW 12_std,QW 99,QW 99_std,source
20.0,64.73684210526315,0.4,1.45,0.009189894319052615,0.11331170603799036,0.05365341194035747,0.13245482091328134,0.2505929156250806,0.16689629392513175,0.22891524120964882,0.12960116476529437,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.1558196169692688,0.13296225343976945,0.09285670888686105,0.1117618102328483,0.09190931305937612,0.1058475098309131,0.12312417786986907,0.1402396731963884,0.36156750695868906,0.11891720196420988,0.28721900502933595,0.12171836950776911,0.13224564385510626,0.17717645291739312,GP_mean
20.0,64.73684210526315,0.5105263157894737,1.45,0.014465635796094153,0.11024217236597127,0.09679832175278136,0.12881880131136692,0.2505929156250806,0.16689629392513175,0.23245059648644675,0.12669059456851953,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.1481227635317677,0.13117121857673958,0.09302914293597525,0.11173330518203485,0.092673009587182,0.10397269819642099,0.12312417786986907,0.1402396731963884,0.31737718520905656,0.11586795719890398,0.26833224416016216,0.11943558190716778,0.13224564385510626,0.17717645291739312,GP_mean
20.0,64.73684210526315,0.6210526315789474,1.45,0.019557109646464704,0.10827691981699633,0.15482879057325694,0.12630425228339298,0.2505929156250806,0.16689629392513175,0.22169939561241392,0.12440799259263753,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.13388439549838044,0.12959467383027315,0.09335485649141366,0.11170082810275726,0.09408697339000426,0.10253335826685307,0.12312417786986907,0.1402396731963884,0.25521644262439347,0.11365228430000669,0.23254323274631047,0.11757737208523018,0.13224564385510626,0.17717645291739312,GP_mean
20.0,64.73684210526315,0.7315789473684211,1.45,0.023835106453102023,0.10664871647918253,0.22217483890123474,0.12402803220794466,0.2505929156250806,0.16689629392513175,0.19782018649959407,0.1220173452312303,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.11601095292286245,0.12766263149642648,0.09296740720790413,0.1116474476758253,0.09309475870479811,0.10108231808422002,0.12312417786986907,0.1402396731963884,0.1868744076268056,0.11153419419224557,0.18739227699100414,0.11553802754139589,0.13224564385510626,0.17717645291739312,GP_mean
20.0,64.73684210526315,0.8421052631578948,1.45,0.02804265940364293,0.10500754735786066,0.2928600273510016,0.12146949050353965,0.2505929156250806,0.16689629392513175,0.16770563925400706,0.1187396023933772,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.0996084816432871,0.12421244496680853,0.09086318422178033,0.11133916626102555,0.08481630984222613,0.09919954431203096,0.12312417786986907,0.1402396731963884,0.12311302987257972,0.10897795087423319,0.1389593263238992,0.11253978199662881,0.13224564385510626,0.17717645291739312,GP_mean
20.0,64.73684210526315,0.9526315789473685,1.45,0.03498135521444232,0.10343396815393718,0.3614573133903878,0.11872924162069179,0.2505929156250806,0.16689629392513175,0.13797795440782967,0.11447894106481939,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.08883490739087782,0.11849719698594509,0.08825565237582352,0.10977078059204812,0.065799675056218,0.09688344214195137,0.12312417786986907,0.1402396731963884,0.07029961857681617,0.10603888752895271,0.08987861559135393,0.10838679481316171,0.13224564385510626,0.17717645291739312,GP_mean
20.0,64.73684210526315,1.0631578947368423,1.45,0.04962666646891395,0.10220754350367875,0.42371572123369683,0.11637423230455951,0.2505929156250806,0.16689629392513175,0.1113489227650067,0.11015097631318169,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.0794365785205867,0.11135397657818476,0.08305078604687166,0.1039755710362125,0.03908736113379756,0.09463669352805826,0.12312417786986907,0.1402396731963884,0.031929031670415386,0.10335065313166254,0.0443693921927894,0.1039336030056342,0.13224564385510626,0.17717645291739312,GP_mean
20.0,64.73684210526315,1.1736842105263159,1.45,0.07838966183821833,0.10158413245673521,0.4763733528028424,0.11513841452321104,0.2505929156250806,0.16689629392513175,0.08947703937807477,0.10776868456880453,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.06087533330660745,0.1072207855851955,0.05696483419539309,0.0994366172711265,0.015037990776355536,0.0933822847609398,0.12312417786986907,0.1402396731963884,0.010609265228679665,0.10190951607568129,0.013093923710925548,0.10143585937790359,0.13224564385510626,0.17717645291739312,GP_mean
20.0,64.73684210526315,1.2842105263157895,1.45,0.1265210768788396,0.10169432801155003,0.51463045828437,0.11531348540322475,0.2505929156250806,0.16689629392513175,0.071057707325309,0.10820432276703665,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.04439301945400728,0.10831914182656627,0.0397042693640691,0.10247972252075978,0.0028586584944803317,0.09356453204973104,0.12312417786986907,0.1402396731963884,0.005771072623380641,0.10212219000065847,0.003166765126035989,0.10193790659034542,0.13224564385510626,0.17717645291739312,GP_mean
20.0,64.73684210526315,1.3947368421052633,1.45,0.19288706044682863,0.10276860928666706,0.532555444843906,0.11672463037577337,0.2505929156250806,0.16689629392513175,0.050066522872381516,0.10989396512023662,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.05430873271433548,0.11048304851925393,0.034712326491685694,0.10455359258980769,0.0033533986319308207,0.09466947977994407,0.12312417786986907,0.1402396731963884,0.012165966953991317,0.10347266361420948,0.008768427752667646,0.10357239524480615,0.13224564385510626,0.17717645291739312,GP_mean
