Anneal Time,Temperature,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,source,QW 1_std,QW 2_std,QW 3_std,QW 4_std,QW 5_std,QW 6_std,QW 7_std,QW 8_std,QW 9_std,QW 10_std,QW 11_std,QW 12_std,QW 99_std
60.0,105.0,1.0,1.5,0.0,0.3178393580474997,0.2256713350338709,0.176479250353876,0.0,0.0,0.35509186562072,0.0,0.2482452008334323,0.2481180840837879,0.1967822046647969,0.1973455713843382,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,105.0,1.0,1.5,0.1179452361114793,0.2630993629467794,0.261010804078141,0.1304509299039571,0.0,0.0,0.2969100732959416,0.2093760479976117,0.209297716935267,0.217379524033215,0.1916578233667528,0.2133827300098848,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,1.0,1.5,0.0,0.3101726509146458,0.3580979854389582,0.0,0.0,0.0,0.549206791468687,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,1.0,1.5,0.0,0.2406822198834916,0.3765853330630974,0.3140438029829486,0.0,0.0,0.3332074053029746,0.3543286879196841,0.3540193937563481,0.3377789356845224,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,150.0,1.0,1.5,0.1687990487563818,0.2243511777491371,0.2167435465550111,0.1988007696964486,0.1816742861247785,0.3355039784481146,0.0,0.0,0.0,0.1183422847362316,0.1182773647438408,0.1999923680227594,0.1246963801987011,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,150.0,1.0,1.5,0.0,0.2288820425842782,0.3262334024065543,0.2470989090362214,0.2777478859671185,0.0,0.2913886903989779,0.2646180883083924,0.2644147116889198,0.2721096574896839,0.2719294207695372,0.2717937951227956,0.2872131911425915,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,150.0,1.0,1.5,0.1987725562608255,0.2910714445846343,0.2945177662371236,0.0,0.225190387220828,0.1866012646747509,0.2208601815203941,0.0,0.0,0.3216283888904453,0.3215246110587169,0.3214446072925351,0.293989800888519,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,150.0,1.0,1.5,0.0,0.3260485864330121,0.2996842452953658,0.2404882059435427,0.2983452588440838,0.0,0.3803858426234918,0.380032527309844,0.0,0.0,0.0,0.0,0.3526438361309056,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,60.0,2.0,2.0,0.2815625035410362,0.2203542709197347,0.0,0.1186083121423483,0.1063646192140009,0.1179163959526408,0.1064040109732879,0.1119018359051134,0.0948502616007795,0.0947173416602869,0.1042442481656783,0.0912572420845347,0.0911162087980521,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,60.0,2.0,2.0,0.0,0.3530845603242139,0.208380669192157,0.2449684616239367,0.2803204359205213,0.0,0.318652137068719,0.0,0.2279066330483453,0.212232778075096,0.212087242018769,0.1706365835944856,0.1728958361698861,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
